"replication","mean_loop","slope_loop","mean_boot","slope_boot"
1,0.107647875158461,-2.03536044671208,0.0408439712156453,-2.0141420068869
2,0.0770775989064755,-2.05750794914003,0.0516899946615424,-2.05303629611315
3,0.0498713610003834,-2.06144459455242,0.0454902627442487,-2.05704003914034
4,0.0700121958643954,-2.04400820888034,0.0586247829647026,-2.09146768641357
5,0.0126900619574191,-2.0490080340881,0.0925569204749365,-2.080259440362
6,-0.030559742944371,-2.02272406624544,-0.00215688462324136,-2.02347834023594
7,0.0861440949227023,-2.04433453896976,0.0575116342605504,-2.03682539771664
8,0.0523287208975374,-2.01418753616678,0.143977157404287,-2.01458752697775
9,0.0063533496435275,-2.10330116365826,0.0693432200309543,-2.04216937131579
10,0.0440739609991976,-2.08422477760535,0.0660184228678356,-2.12188379152377
11,0.0522435373685243,-2.06347905227221,0.106545526324994,-2.06143399133359
12,0.047291656331528,-2.04248851440772,-0.0262165684847714,-2.03987693367774
13,0.0473126198564955,-2.01708706203699,-0.00945876098681078,-1.98068700044589
14,0.079188712000036,-2.01007503217641,-0.00553864957317553,-2.00747357782495
15,-0.0680515590836406,-2.08752441859788,0.107666943036053,-2.03958700658413
16,0.0833100527394751,-2.04917195406174,0.135560370731641,-2.05432215985102
17,0.0913186762746944,-2.03723264828888,0.123943381459202,-2.06468714840804
18,0.0380199539933314,-2.04173247949849,0.0774081112926739,-2.03364649121842
19,0.105763579645992,-2.01679049391864,-0.0468993002538468,-2.01892336906401
20,0.037938911539141,-2.04537393721484,0.123930401906982,-1.98086886050035
21,0.0596227230767363,-2.0238530309779,0.0460208699640502,-2.03066386995286
22,0.104466106649788,-2.05108084032559,0.0681296833765372,-2.0115832890078
23,0.0978381746419761,-1.97175173627606,-0.014977087552156,-2.03381076107401
24,0.124661735959188,-2.06836147830243,-0.00381024565443068,-2.01565755314976
25,0.0725802366266529,-2.0520051451034,0.0776362752549108,-1.99536511758677
26,0.00266588759480858,-2.07724272945081,0.0661712908715281,-2.01805323986117
27,0.0741148759877511,-2.00944387570882,0.0884444879203111,-2.05445864705331
28,0.054344526103122,-2.05751775793972,0.111478199011373,-2.00793572155121
29,0.11109509762399,-2.04038372975,0.0762893407783629,-2.02326000291234
30,0.1293150792197,-2.05473030152978,0.0491944159611918,-2.0434733664216
31,-0.0265987593925698,-2.04874147827995,-0.0157465954359438,-2.04055306430203
32,0.0997163866454645,-2.01003830143433,-0.0235876983935006,-2.0008736033383
33,0.119921922805521,-2.07871328998496,-0.027417375684918,-2.03429236885023
34,0.0370129444803542,-1.97607104854534,-0.00242372869112552,-2.02397385548877
35,-0.0169501874507614,-2.0465657281438,0.0663554013456625,-2.03352189224984
36,0.107730074632218,-2.05815408575094,0.0112158298135353,-2.02832639546321
37,0.0360500053697209,-1.98620065442076,0.0289021407225535,-2.02658585723076
38,-0.0495495650208069,-2.04407023981021,0.108098797853886,-2.03052384915661
39,0.0459286143002057,-2.02040393913203,-0.0661887445852008,-2.00447794175976
40,-0.000207930345948873,-1.97276285106894,-0.0603166438310817,-2.00963797223078
41,0.00939884457909598,-2.07399801556713,0.00336440013752407,-2.01551533633236
42,0.0923573835304604,-2.00266824389671,0.0817822386333623,-2.04583993492534
43,0.0556256226529606,-2.06556744519348,0.153726897699705,-2.05991932902201
